trip,flight,route,departure,arrival,supplierconfirmationnumber,bookingsiteconfirmationnumber,agencyconfirmationnumber,ticketnumber,purpose,aircraft_registration,aircraft_type,seat,class,notes,cost
2008 Tassie Trip 3,QF822,MEL-CBR,2008-11-16T19:00:00+11:00,2008-11-16T20:05:00+11:00,,,,,L,,,26C,,,
2008 Tassie Trip 4,QF795,CBR-MEL,2008-12-06T06:40:00+11:00,2008-12-06T07:50:00+11:00,,,,,L,VH-VYJ,738,13D,,,
2008 Tassie Trip 4,QF2053,MEL-DPO,2008-12-06T12:00:00+11:00,2008-12-06T13:15:00+11:00,,,,,L,VH-TQZ,DH3,8C,,,
2008 Tassie Trip 4,QF2052,DPO-MEL,2008-12-07T10:00:00+11:00,2008-12-07T11:15:00+11:00,,,,,L,VH-TQZ,DH3,4C,,,
2008 Tassie Trip 4,QF812,MEL-CBR,2008-12-07T13:30:00+11:00,2008-12-07T14:35:00+11:00,,,,,L,VH-VXB,738,22D,,,
2009 Japan Trip,DJ712,CBR-MEL,2009-01-16T09:05:00+11:00,2009-01-16T10:10:00+11:00,,,,,L,,738,4D,,,
2009 Japan Trip,SQ228,MEL-SIN,2009-01-16T17:00:00+11:00,2009-01-16T21:35:00+08:00,,,,,L,9V-SPP,747,34K,,,
2009 Japan Trip,SQ638,SIN-NRT,2009-01-16T23:45:00+08:00,2009-01-16T07:15:00+09:00,,,,,L,9V-SKB,388,58B,,,
2009 Japan Trip,SQ637,NRT-SIN,2009-01-26T11:30:00+09:00,2009-01-26T17:55:00+08:00,,,,,L,9V-SKA,388,43J,,,
2009 Japan Trip,SQ227,SIN-MEL,2009-01-26T21:00:00+08:00,2009-01-26T07:15:00+11:00,,,,,L,9V-SPJ,744,42B,,,
2009 Japan Trip,QF826,MEL-CBR,2009-01-27T16:10:00+11:00,2009-01-27T17:15:00+11:00,,,,,L,VH-TJX,734,11B,,,
2009 Tassie Trip 1,DJ931,CBR-SYD,2009-02-20T17:00:00+11:00,2009-02-20T17:50:00+11:00,,,,,L,VH-ZHD,E70,18C,,First flight cancelled; Second flight was delayed until I wouldnt have made connection; Was finally put on this flight; 8hrs waiting in CBR using free wireless.,
2009 Tassie Trip 1,DJ622,SYD-HBA,2009-02-20T19:25:00+11:00,2009-02-20T21:15:00+11:00,,,,,L,VH-VUJ,738,15C,,,
2009 Tassie Trip 1,DJ1155,LST-SYD,2009-02-22T14:20:00+11:00,2009-02-22T15:55:00+11:00,,,,,L,VH-VOX,738,9E,,Pacific Blue plane no IFE fitted.,
2009 Tassie Trip 1,DJ936,SYD-CBR,2009-02-22T18:20:00+11:00,2009-02-22T19:15:00+11:00,,,,,L,VH-ZHF,E70,11A,,,
2009 Adelaide Trip,QF713,CBR-ADL,2009-04-24T06:05:00+10:00,2009-04-24T07:25:00+09:30,,,,,L,VH-VXS,738,24D,,,
2009 Adelaide Trip,QF708,ADL-CBR,2009-04-27T18:25:00+09:30,2009-04-27T20:35:00+10:00,,,,,L,,,26E,,,
2009 Tassie Trip 2,QF2133,CBR-MEL,2009-05-30T11:30:00+10:00,2009-05-30T12:55:00+10:00,,,,,L,,,12A,,,
2009 Tassie Trip 2,QF2057,MEL-DPO,2009-05-30T15:35:00+10:00,2009-05-30T16:40:00+10:00,,,,,L,,,,,,
2009 Tassie Trip 2,QF2058,DPO-MEL,2009-05-31T17:10:00+10:00,2009-05-31T18:20:00+10:00,,,,,L,,,12C,,,
2009 Tassie Trip 2,QF822,MEL-CBR,2009-05-31T19:00:00+10:00,2009-05-31T20:05:00+10:00,,,,,L,,,23D,,,
2009 Tassie Trip 3,DJ629,CBR-SYD,2009-08-08T07:15:00+10:00,2009-08-08T08:05:00+10:00,,,,,L,VH-ZHF,E70,14F,,Flight departure delayed to to ATC Controller Shortage in SYD.,
2009 Tassie Trip 3,DJ1150,SYD-LST,2009-08-08T09:30:00+10:00,2009-08-08T11:20:00+10:00,,,,,L,,73G,9C,,Flight departure delayed 20 minutes due to ATC Controller Shortage.,
2009 Tassie Trip 3,QF2280,LST-MEL,2009-08-10T06:30:00+10:00,2009-08-10T07:40:00+10:00,,,,,L,VH-QOM,DH4,15C,,Departure delayed due to DJ departure at same time.,
2009 Tassie Trip 3,QF2132,MEL-CBR,2009-08-10T09:35:00+10:00,2009-08-10T10:55:00+10:00,,,,,L,,,11C,,,
2009 Tassie Trip 4,DJ625,CBR-SYD,2009-11-26T06:15:00+11:00,2009-11-26T07:05:00+11:00,,,,,L,VH-ZHD,E70,11D,,,
2009 Tassie Trip 4,DJ1150,SYD-LST,2009-11-26T09:00:00+11:00,2009-11-26T10:45:00+11:00,,,,,L,VH-VOC,738,8F,,,
2009 Tassie Trip 4,DJ1371,LST-MEL,2009-11-30T15:05:00+11:00,2009-11-30T16:05:00+11:00,,,,,L,VH-VOC,738,11C,,,
2009 Tassie Trip 4,DJ283,MEL-CBR,2009-11-30T17:45:00+11:00,2009-11-30T18:50:00+11:00,,,,,L,VH-VBB,73G,8C,,,
2010 Tassie Trip 1,QF2139,CBR-MEL,2010-07-24T13:30:00+10:00,2010-07-24T14:40:00+10:00,,,,,L,,,,,,
2010 Tassie Trip 1,QF2057,MEL-DPO,2010-07-24T15:40:00+10:00,2010-07-24T16:45:00+10:00,,,,,L,,,19C,,,
2010 Tassie Trip 1,QF2054,DPO-MEL,2010-07-26T13:15:00+10:00,2010-07-26T14:25:00+10:00,,,,,L,,,13C,,,
2010 Tassie Trip 1,QF818,MEL-CBR,2010-07-26T15:25:00+10:00,2010-07-26T16:30:00+10:00,,,,,L,,,24C,,,
TechEd 2010,DJ1693,CBR-OOL,2010-08-24T19:45:00+10:00,2010-08-24T21:15:00+10:00,,,,,B,VH-ZHD,E70,6D,,,
